account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
ArisBJJ,2,89,0.5008,57,3.9816,4.5601,-0.2482,41.98,0.7619,40
michael_exc,1,218,0.5,58,4.7318,0.4303,0.5857,75.95,1.0,0
Aristerotsolis,1,218,0.4989,59,3.9905,-0.7859,-0.1194,57.5,1.0,0
Veltsi_Legacy,1,218,0.4978,60,4.6375,0.3621,-0.4152,21.5,0.4,4
lafillemalgard1,2,89,0.4969,61,3.2856,3.7636,0.4367,45.41,0.85,31
MKioulafa,2,89,0.4968,62,3.7786,7.8372,-0.4875,60.97,0.8393,76
silaserafim,2,89,0.4968,63,4.6898,2.4927,1.5954,70.5,1.0,5
MariaDecokeke,2,89,0.4961,64,3.6477,8.1334,-0.1466,64.18,0.9851,174
NikosVsdl8,2,89,0.4956,65,3.6841,3.3127,-0.7993,78.8,1.0,4
g_m_theo,2,89,0.4951,66,2.6708,4.2878,0.6456,45.25,0.8235,37
agapornis_mask,1,218,0.4949,67,4.1789,0.1578,-0.0947,52.92,1.0,5
le1li,2,89,0.4947,68,4.1748,2.4092,-0.417,51.88,0.9444,2
Tina5996,1,218,0.494,69,4.6833,1.2034,-1.0013,65.69,1.0,9
unico11226,1,218,0.4938,70,4.5593,-0.3141,-0.5615,34.92,0.8333,2
Loxagos_Mark,2,89,0.4936,71,3.9915,5.7099,1.0632,73.33,1.0,82
jparthen,2,89,0.493,72,4.0281,2.2395,-0.337,42.37,0.7333,8
Guson653566,1,218,0.4922,73,8.4484,-5.0348,-7.5385,0.0,0.0,0
HFirstpriest,1,218,0.4922,74,8.4484,-5.0348,-7.5385,0.0,0.0,0
Lollos1242232,1,218,0.4922,75,8.4484,-5.0348,-7.5385,0.0,0.0,0
Pi8kiavlozampis,1,218,0.4922,76,8.4484,-5.0348,-7.5385,0.0,0.0,0
christoskostaki,1,218,0.4922,77,8.4484,-5.0348,-7.5385,0.0,0.0,0
myga_tse,1,218,0.4922,78,8.4484,-5.0348,-7.5385,0.0,0.0,0
ABCHeckles,2,89,0.4919,79,2.8296,6.8329,0.408,82.45,1.0,104
economi94461498,2,89,0.4906,80,3.3834,4.1828,-0.4975,81.02,1.0,13
SagamoreMount,1,218,0.4899,81,3.9541,0.2578,-1.5227,38.75,1.0,7
Valiadistinct,1,218,0.4896,82,4.4504,-0.7019,1.458,71.25,1.0,0
omadaalithias,1,218,0.4894,83,5.1055,-3.1428,1.4299,0.0,0.0,0
parodynews,1,218,0.4894,84,4.7391,1.0636,1.1288,34.09,0.6923,3
LitsaXarou,1,218,0.4889,85,4.5841,0.0829,2.6805,68.75,1.0,0
dinoskonstantin,2,89,0.4885,86,3.5767,3.7212,0.7085,76.88,1.0,14
harakont,1,218,0.488,87,3.3809,-0.8267,-0.769,40.0,1.0,6
frel_elias,1,218,0.4855,88,5.0947,0.6727,1.1464,48.48,0.875,0
NonameTZ,2,89,0.4851,89,3.1704,4.0214,-1.0364,58.65,1.0,48
InafiZinaf1,1,218,0.4849,90,3.8593,-0.7808,-1.4525,38.33,1.0,11
steiger_st28082,2,89,0.4839,91,3.9851,2.3671,0.0434,37.67,0.7692,19
VforVolemenos,1,218,0.4834,92,5.1505,1.1323,1.1673,40.92,0.8333,2
Myrtilo01,2,89,0.4821,93,3.2467,5.7875,-1.5022,79.01,1.0,72
angie22gr,2,89,0.4819,94,3.0205,4.983,1.5405,78.64,1.0,30
Volcom40893832,1,218,0.4814,95,3.6697,-0.1199,0.1127,42.92,1.0,10
GeorgiadouL,2,89,0.4812,96,4.392,1.8704,0.8148,54.11,1.0,12
Evitel_,1,218,0.4808,97,5.2976,-2.2511,2.3746,60.0,1.0,0
doumpalis,1,218,0.4807,98,7.6507,-3.5577,-1.0188,0.0,0.0,0
QuercusLg,2,89,0.4804,99,3.8372,2.1271,0.26,55.62,0.9048,2
MariaKagia4603,1,218,0.4804,100,4.1754,0.625,-1.6772,56.43,1.0,6
VIVITV5,1,218,0.4801,101,4.478,0.9177,1.0051,67.75,1.0,4
vel_theGreek,2,89,0.48,102,4.6901,1.6781,1.2562,41.67,0.8571,8
johnblandos,2,89,0.4787,103,3.0016,7.1145,-0.4523,62.06,0.9,104
