retweeter,source_author,count
nickthegreek5,AnAthenianToLDN,2
nickthegreek5,ApproachNemesis,2
nickthegreek5,ArisBJJ,2
nickthegreek5,Arkady1975,2
nickthegreek5,DvsDvs60195368,2
nickthegreek5,HFirstpriest,2
nickthegreek5,Harhalas,2
nickthegreek5,LKleitou,2
nickthegreek5,NicDam4,2
nickthegreek5,SMpliat,2
nickthegreek5,Technomagos,2
nickthegreek5,Veltsi_Legacy,2
nickthegreek5,__darcelX__,2
nickthegreek5,action24tv,2
nickthegreek5,aggeloschoriano,2
nickthegreek5,arkas1971,2
nickthegreek5,dkDurcGYTIpZdKl,2
nickthegreek5,gio_Kk23,2
nickthegreek5,gverikks,2
nickthegreek5,nikolaosderes,2
nickthegreek5,pontifex1054,2
nickthegreek5,qasireu,2
nickthegreek5,tazmanolis,2
nickthegreek5,theodorekollias,2
nickthegreek5,tzavelaniki,2
nickthegreek5,visegrad24,2
nickthegreek5,zneraida,2
nikos_aggelakis,BenakisM,2
paliakaravana59,Alinavisooo,2
paliakaravana59,AnAthenianToLDN,2
paliakaravana59,Eman5695,2
paliakaravana59,Luna_Jones79,2
paliakaravana59,MsLouellaDeVil,2
paliakaravana59,Natalia_yael4,2
paliakaravana59,Niw451,2
paliakaravana59,Vickytax1,2
paliakaravana59,nikglykos,2
paliakaravana59,zneraida,2
sinakatsarou,Ah_riman,2
sinakatsarou,Fotinh5,2
sinakatsarou,Lalunaromantico,2
sinakatsarou,LiberalGr,2
sinakatsarou,Mareadre,2
sinakatsarou,MariaDecokeke,2
sinakatsarou,MenoEdo,2
sinakatsarou,NicDam4,2
sinakatsarou,VforVolemenos,2
sinakatsarou,Voice75848495,2
sinakatsarou,elenasagiadinou,2
sinakatsarou,giakarvo,2
sinakatsarou,gio_Kk23,2
sinakatsarou,mmoutafides,2
sinakatsarou,ourania15,2
sinakatsarou,taurothanos,2
steiger_st28082,MirandaPrada_,2
tasoskar11,n_palaiopanou,2
tazmanolis,t_valilas,2
theatropoios,ProtocolsWZion,2
vythos70,AlexGavriilidis,2
vythos70,Handakas1,2
vythos70,Kostopoulosdim1,2
vythos70,Oliviaxrtx,2
vythos70,YasouStasou,2
vythos70,ivoutsas,2
vythos70,kperantakos,2
vythos70,mariakalantze,2
vythos70,n_palaiopanou,2
vythos70,nikglykos,2
vythos70,panagiotis501,2
vythos70,xuzin3sefh,2
xariszak2,PtisiMagazine,2
xariszak2,ThunderSon23,2
xeniakan21,gverikks,2
xeniakan21,nikglykos,2
xeniakan21,panta_tif,2
2Harvard2,ellada24,1
2eateras,zeynepkologluu,1
46spiros,4fABkkc5xTv2aek,1
46spiros,57lista,1
46spiros,AegeanHawk,1
46spiros,AgelisDimitris,1
46spiros,Agie2a,1
46spiros,Ander_Bruckes,1
46spiros,AppelaiosII,1
46spiros,ArisBJJ,1
46spiros,ArisPortosalte,1
46spiros,ChristossK54759,1
46spiros,Cynaegeirus2,1
46spiros,Gianniskalatzo2,1
46spiros,GreeceMFA,1
46spiros,GreekReporterr,1
46spiros,HellenicOlympic,1
46spiros,Heraclis_82,1
46spiros,HomerPavlos,1
46spiros,IDF,1
46spiros,IamKostasT,1
46spiros,Inevitablewest,1
46spiros,IoannaDementi,1
46spiros,Ioannis_Nikitas,1
46spiros,IosifAvramoglou,1
46spiros,JamesCartash,1
46spiros,JayinKyiv,1
46spiros,Kabamaru__n,1
46spiros,LKleitou,1
46spiros,Lavrentis_1,1
46spiros,LelaAth,1
46spiros,LiberalGr,1
46spiros,MarioNawfal,1
46spiros,Melbourne57,1
46spiros,Mrpresidentgr,1
46spiros,MsLouellaDeVil,1
46spiros,NemesisGRE,1
46spiros,NikKo_ial,1
46spiros,OStergioudi,1
46spiros,Onisenko,1
46spiros,OratiosPoulos,1
46spiros,Ouinston,1
46spiros,PlakoudasSpyros,1
46spiros,PlanetZeroOne,1
46spiros,PrimeministerGR,1
46spiros,Rena_Rethymno,1
46spiros,SarikasKostas,1
46spiros,Technomagos,1
46spiros,ThanosTzimeros,1
46spiros,TheMossadIL,1
46spiros,VICKYK86529099,1
46spiros,Vasilis_V82,1
46spiros,WorldAndScience,1
46spiros,YpenGr,1
46spiros,ZbejVty,1
46spiros,action24tv,1
46spiros,akrokentrwos_2,1
46spiros,angie22gr,1
46spiros,aprosarmostos_,1
46spiros,c20902f64c1141d,1
46spiros,communakios,1
46spiros,deexX5566,1
46spiros,efarpax_4,1
46spiros,elenasagiadinou,1
46spiros,georgemilon,1
46spiros,giannMak,1
46spiros,gio_Kk23,1
46spiros,historyinmemes,1
46spiros,iefimerida,1
46spiros,igorsushko,1
46spiros,john88right,1
46spiros,konmanol1,1
46spiros,kyranakis,1
46spiros,manolisgiz,1
46spiros,mariakalantze,1
46spiros,mmoutafides,1
46spiros,mpokotas,1
46spiros,n_palaiopanou,1
46spiros,nprepalas,1
46spiros,omadaalithias,1
46spiros,petros_GR,1
46spiros,prng2777,1
46spiros,prokaliptika1,1
46spiros,sinakatsarou,1
46spiros,spiros_kyr,1
46spiros,steiger_st28082,1
46spiros,tassos4162,1
46spiros,thanosdimadis,1
46spiros,vickyfnd,1
46spiros,whothefckyouth1,1
4lhc_athens,G4Heron,1
57lista,AgelisDimitris,1
57lista,AnAthenianToLDN,1
57lista,GeorghyZhukov,1
57lista,Lavrentis_1,1
57lista,arkas1971,1
ABCHeckles,Beburosangel,1
ABCHeckles,DejaLogic,1
ABCHeckles,GGoudaras,1
ABCHeckles,GeorghyZhukov,1
ABCHeckles,Heraclis_82,1
