account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
angie22gr,30,21,Lalunaromantico,4,0.0622,6131,amplifier_suspect,1,1
giannMak,30,28,SMpliat,2,0.0378,3873,mixed_behavior,1,1
PitSpencer,29,28,prokaliptika1,2,0.0369,6437,amplifier_suspect,2,1
MasenkaMm230158,27,20,KatKatPt,5,0.0727,12632,amplifier_suspect,1,1
Catps66,26,23,Monika29698435,2,0.0473,6534,amplifier_suspect,1,1
QuercusLg,24,20,giorgoschris2,3,0.0625,2717,retail_user,,2
Placebo_0,23,23,Harhalas,1,0.0435,3451,mixed_behavior,,
economi94461498,23,23,Arkady1975,1,0.0435,766,amplifier_suspect,1,1
klikr,21,18,SkyNews,3,0.0658,4900,mixed_behavior,1,1
michael_exc,21,19,Jvnior,2,0.0567,,amplifier_suspect,,
Aaagiiisss,20,16,HomerPavlos,3,0.08,2541,amplifier_suspect,1,1
silaserafim,19,19,Onisenko,1,0.0526,2318,media_business,,1
anasiropiastos,17,6,starbats_gr,10,0.3841,,retail_user,1,1
greek_paris_13,17,12,HistoryCyprus,3,0.1073,6956,mixed_behavior,1,1
Agie2a,17,13,Mirsini1946041,3,0.0934,12023,mixed_behavior,1,1
matrixneo1979,17,15,BazingaGR,3,0.0796,3147,media_business,,1
Xeniaxe19580370,17,16,Niw451,2,0.0657,9011,amplifier_suspect,1,1
foivos_trikkis_,16,16,UndiagnosedMode,1,0.0625,,retail_user,,
xeniakan21,16,16,Mirsini1946041,1,0.0625,4140,amplifier_suspect,2,1
margko73,15,12,tbickle1976,3,0.1022,,amplifier_suspect,,
MariaKoki3,15,13,HellenicOlympic,2,0.0844,3375,retail_user,2,1
unico11226,15,13,DvsDvs60195368,2,0.0844,3838,retail_user,2,1
AnAthenianToLDN,15,15,panta_tif,1,0.0667,5694,media_business,2,1
kokkoriss,15,15,AdonisGeorgiadi,1,0.0667,2434,amplifier_suspect,2,1
