account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
steiger_st28082,True,17,13,4,0,0.7647,9,13,11,1,0.0769,MirandaPrada_,2,0.1538,0,10,2138,3168,130373,2023-03-20T11:48:28+02:00,True,False,False,el,40.71
AthanasiouCccp,True,25,18,7,7,0.72,8,18,16,5,0.2778,RockRock222555,2,0.1111,3,2,6153,5376,145566,2012-12-21T03:38:54+02:00,True,False,False,en,40.48
Klearxos8,True,2,2,0,0,1.0,0,2,2,0,0.0,Nothing04305955,1,0.5,0,1,1247,2680,27393,2021-05-17T23:36:38+03:00,True,False,False,el,40.0
tazmanolis,True,14,10,4,5,0.7143,10,10,9,0,0.0,t_valilas,2,0.2,0,16,14630,6102,361690,2019-08-16T07:52:44+03:00,True,False,True,en,39.5
communakios,True,5,4,1,1,0.8,1,4,4,2,0.5,eucopresident,1,0.25,0,1,4377,1119,52650,2021-12-22T16:43:22+02:00,True,False,False,el,39.25
CMentat,True,7,6,1,3,0.8571,6,6,6,0,0.0,iointelresearch,1,0.1667,0,0,531,660,7143,2024-09-10T16:03:35+03:00,True,False,False,,39.17
EthanAnargyrous,True,7,6,1,1,0.8571,4,6,6,1,0.1667,steiger_st28082,1,0.1667,0,1,1171,962,40226,2018-07-13T18:09:01+03:00,True,False,False,el,39.17
57lista,True,19,12,7,7,0.6316,6,12,10,6,0.5,panta_tif,2,0.1667,0,0,1666,1551,15969,2021-08-27T16:45:31+03:00,True,False,False,el,38.77
SagamoreMount,True,4,4,0,1,1.0,1,4,4,0,0.0,MirandaPrada_,1,0.25,0,3,134,425,4138,2024-08-26T17:13:12+03:00,True,False,False,en,38.75
kostasp194,True,6,4,2,0,0.6667,1,4,4,3,0.75,Mirsini1946041,1,0.25,2,4,3530,4122,47829,2016-12-05T11:36:31+02:00,True,False,False,,38.33
anarchistdonkey,True,13,10,3,3,0.7692,8,10,10,0,0.0,Technomagos,1,0.1,6,0,5624,2370,160251,2013-12-31T18:56:09+02:00,False,False,False,el,37.92
oldfileles,True,3,1,2,1,0.3333,1,1,1,1,1.0,tazmanolis,1,1.0,0,1,25991,5102,19918,2015-06-01T07:38:25+03:00,True,False,True,el,37.92
0nyxas,True,4,3,1,1,0.75,2,3,3,1,0.3333,AITWLOS,1,0.3333,3,0,6944,2590,84894,2016-08-30T14:35:28+03:00,True,False,False,el,37.08
hellaspecial,True,4,3,1,1,0.75,2,3,3,1,0.3333,alyonapopova,1,0.3333,2,0,5657,4362,162822,2018-08-03T17:18:19+03:00,True,False,True,el,37.08
PanosStayis,True,3,2,1,1,0.6667,1,2,2,1,0.5,ByJimbob,1,0.5,0,0,348,351,6860,2023-05-23T12:49:49+03:00,True,False,False,el,37.08
parodynews,True,16,11,5,6,0.6875,9,11,11,0,0.0,BohuslavskaKate,1,0.0909,0,1,3576,4100,180134,2009-11-11T22:30:46+02:00,False,False,False,en,36.22
Mrpresidentgr,True,13,10,3,3,0.7692,4,10,10,2,0.2,ictinus_x,1,0.1,4,2,3843,2987,54271,2009-05-17T13:46:18+03:00,True,False,True,,35.92
