account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
AgelisDimitris,MariaKagia4603,2,0.0121,1,2
AgelisDimitris,ptableart,2,0.0118,1,1
Agie2a,MenoEdo,2,0.0155,1,1
Ah_riman,Briassulis,2,0.0164,1,2
Ah_riman,K_Sav215,2,0.0211,1,1
Ah_riman,SenzakiKamo,2,0.0339,1,1
Ah_riman,Theodoros674021,2,0.0606,1,2
AnAthenianToLDN,johnblandos,2,0.0308,1,2
AnAthenianToLDN,klikr,2,0.0465,1,1
Anastasia7882,Briassulis,2,0.019,1,2
Anthology2026,angelikitsakani,2,0.0132,1,2
ArgirNik,DonConsclavios,2,0.0455,1,2
ArgirNik,Myrtilo01,2,0.0377,1,1
ArgirNik,SenzakiKamo,2,0.0417,1,1
ArisBJJ,hatz_patty,2,0.0194,1,2
BananaJoeReload,kokkoriss,2,0.0408,1,2
Briassulis,SenzakiKamo,2,0.0155,1,1
CharilaosPapad1,RockRock222555,2,0.037,1,1
DDeppied,MariaDecokeke,2,0.029,1,2
DonConsclavios,K_Sav215,2,0.0204,1,2
Fay82776914F,johnblandos,2,0.0303,1,1
Fay82776914F,sinakatsarou,2,0.0164,1,1
Fotinh5,GiotaPapapetrou,2,0.0098,1,2
GeorgiadouL,maus_miny,2,0.069,1,1
GiotaPapapetrou,aggelikiME25,2,0.0069,1,2
JimyWis,silaserafim,2,0.0833,1,2
JtfYiannis,RockRock222555,2,0.0392,1,2
LGkvas,vythos70,2,0.0157,1,1
Loxagos_Mark,klikr,2,0.0303,1,1
MKioulafa,Track11John,2,0.0076,1,2
MariaDecokeke,anasiropiastos,2,0.0222,1,1
MariaKagia4603,chrysib11,2,0.0187,1,1
MasenkaMm230158,TsigkaEfi,2,0.025,1,1
Mrpresidentgr,sinakatsarou,2,0.0171,1,2
Myrtilo01,fanis_rc,2,0.0455,1,2
NodarasSpiros,giannMak,2,0.0235,1,1
Nogate_T,hatz_patty,2,0.0196,1,2
NonameTZ,johnblandos,2,0.0308,1,1
PitSpencer,angelikitsakani,2,0.0175,1,2
PitSpencer,chrysib11,2,0.0167,1,1
Rena_Rethymno,g_m_theo,2,0.0667,1,1
RockRock222555,ThanosTzimeros,2,0.0274,1,2
TsigkaEfi,angelikitsakani,2,0.0171,1,2
Veltsi_Legacy,nickthegreek5,2,0.0071,1,1
ZafiriaF,vythos70,2,0.0171,1,1
chrysib11,steiger_st28082,2,0.0182,1,2
fanis_rc,lidakis_manos,2,0.0769,1,1
giannMak,tasoskar11,2,0.0233,1,1
greek_paris_13,nikos_aggelakis,2,0.0556,1,1
johnblandos,sinakatsarou,2,0.0123,1,1
nickthegreek5,teo_ntaleki,2,0.0069,1,1
sinakatsarou,steiger_st28082,2,0.0169,1,1
sinakatsarou,xariszak2,2,0.0167,1,1
46spiros,Aaagiiisss,2,0.0084,0,0
46spiros,Anastasia7882,2,0.009,0,0
46spiros,JSweetGR,2,0.0091,0,0
46spiros,Tina5996,2,0.0091,0,0
46spiros,VIVITV5,2,0.0093,0,1
46spiros,VforVolemenos,2,0.0093,0,0
46spiros,Volcom40893832,2,0.0093,0,0
46spiros,anasiropiastos,2,0.0084,0,2
46spiros,dkDurcGYTIpZdKl,2,0.0093,0,1
46spiros,jparthen,2,0.009,0,1
46spiros,klikr,2,0.0082,0,1
46spiros,lafillemalgard1,2,0.0088,0,0
46spiros,nikos_aggelakis,2,0.0092,0,0
46spiros,steiger_st28082,2,0.009,0,2
46spiros,xariszak2,2,0.009,0,0
57lista,ABCHeckles,2,0.037,0,1
57lista,g_m_theo,2,0.0952,0,0
ABCHeckles,ArisBJJ,2,0.0328,0,1
ABCHeckles,Loxagos_Mark,2,0.0247,0,0
ABCHeckles,MariaDecokeke,2,0.018,0,0
ABCHeckles,MariaKagia4603,2,0.0385,0,0
ABCHeckles,RockRock222555,2,0.0208,0,0
ABCHeckles,angie22gr,2,0.0299,0,2
ABCHeckles,johnblandos,2,0.0202,0,0
ABCHeckles,nikos_aggelakis,2,0.0392,0,2
ABCHeckles,vythos70,2,0.0132,0,0
