retweeter,source_author,count
MenoEdo,AndriopoulosD,1
MenoEdo,AppelaiosII,1
MenoEdo,Aristerotsolis,1
MenoEdo,DvsDvs60195368,1
MenoEdo,EliAfriatISR,1
MenoEdo,GESideris,1
MenoEdo,GeorghyZhukov,1
MenoEdo,Ioannis_Nikitas,1
MenoEdo,LMEuropeNews,1
MenoEdo,MariaDecokeke,1
MenoEdo,Natalia_yael4,1
MenoEdo,SarikasKostas,1
MenoEdo,Schopenhaueress,1
MenoEdo,Simonaki_,1
MenoEdo,VividProwess,1
MenoEdo,arkas1971,1
MenoEdo,dimitris7987,1
MenoEdo,failosK,1
MenoEdo,haaha_bou,1
MenoEdo,hellasspecial,1
MenoEdo,kostasp194,1
MenoEdo,mariakalantze,1
MenoEdo,oikonomikon,1
MenoEdo,omadaalithias,1
MenoEdo,verazeras,1
Mrpresidentgr,Avk50117339,1
Mrpresidentgr,Nob0dymyname,1
Mrpresidentgr,ictinus_x,1
Myrtilo01,P159646899P,1
Myrtilo01,VividProwess,1
Myrtilo01,YpenGr,1
Myrtilo01,omadaalithias,1
NickDanny99,ilpresidenteh,1
NodarasSpiros,MsLouellaDeVil,1
NodarasSpiros,gverikks,1
NodarasSpiros,omadaalithias,1
Nogate_T,LeonardTroland,1
NonameTZ,DoraZip,1
NonameTZ,IoannaDementi,1
NonameTZ,dtri2020,1
NonameTZ,steiger_st28082,1
OratiosPoulos,panta_tif,1
PanosStayis,ByJimbob,1
PiraeusStef,mariavellou,1
PitSpencer,AthanasiouCccp,1
PitSpencer,Cynaegeirus2,1
PitSpencer,EYakoby,1
PitSpencer,EnoplosGr,1
PitSpencer,GeorghyZhukov,1
PitSpencer,LMEuropeNews,1
PitSpencer,NikosRHuda,1
PitSpencer,Rena_Rethymno,1
PitSpencer,RomioiLevantine,1
PitSpencer,SaltyGoat17,1
PitSpencer,WassonWatch,1
PitSpencer,arkas1971,1
PitSpencer,dimitris7987,1
PitSpencer,efarpax_4,1
PitSpencer,haaha_bou,1
PitSpencer,hellasspecial,1
PitSpencer,omadaalithias,1
PitSpencer,panta_tif,1
PitSpencer,realMaalouf,1
Placebo_0,AncientHistorry,1
Placebo_0,DTsakoniti,1
Placebo_0,insomniacgames,1
Placebo_0,orthodox_33ad,1
Placebo_0,rjohn9596,1
QuercusLg,EFourti,1
QuercusLg,PNWG_NATURE,1
RGialama8386,tzon_t,1
RXRqdEgogik2Z9P,ntalaoura,1
Realism_47,GeorghyZhukov,1
RockRock222555,AAAprosarmostos,1
RockRock222555,AdonisGeorgiadi,1
RockRock222555,Akiratos_,1
RockRock222555,Atane_MIS,1
RockRock222555,Dadkhahedaymah,1
RockRock222555,Harhalas,1
RockRock222555,Heraclis_82,1
RockRock222555,JeanMessiha,1
RockRock222555,Johnnyhoston_2,1
RockRock222555,Mirsini1946041,1
RockRock222555,NicDam4,1
RockRock222555,NikosRHuda,1
RockRock222555,Ouinston,1
RockRock222555,SMpliat,1
RockRock222555,ThanosTzimeros,1
RockRock222555,aikarerina,1
RockRock222555,arkas1971,1
RockRock222555,carico1970,1
RockRock222555,dimitris7987,1
RockRock222555,diol2n,1
RockRock222555,dtri2020,1
RockRock222555,estetikos5,1
RockRock222555,failosK,1
RockRock222555,ioannisekolovos,1
RockRock222555,mariakalantze,1
RockRock222555,olympiada,1
RockRock222555,panagiotis501,1
RockRock222555,penny_rage,1
RockRock222555,rightsidefreee,1
RockRock222555,sohfangwei,1
SagamoreMount,AdonisGeorgiadi,1
SagamoreMount,MirandaPrada_,1
SagamoreMount,gverikks,1
SagamoreMount,michaeldweiss,1
ScroogeKifissia,Left_Spear,1
ScroogeKifissia,NikosMichailid4,1
ScroogeKifissia,SXakousti,1
ScroogeKifissia,SinodinosP,1
ScroogeKifissia,_bilnas7__,1
ScroogeKifissia,blackmore_r,1
ScroogeKifissia,horexitoueater,1
