account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
ArisBJJ,13,10,3,3,0.7692,6,10,9,4,0.4,2,0.2,0,2,3224,1346,16278,5459,0,0,1,61,4,11,2,7,4,42.42,
ZbejVty,6,5,1,0,0.8333,4,5,5,2,0.4,1,0.2,0,3,4007,4985,151427,1665,1,0,0,0,0,0,0,0,0,42.17,
EthanAnargyrous,4,3,1,1,0.75,2,3,3,2,0.6667,1,0.3333,0,1,1169,962,40139,2833,1,0,0,61,2,4,0,1,2,42.08,
evangelia_re,4,3,1,0,0.75,2,3,3,2,0.6667,1,0.3333,1,0,5606,4618,15197,6046,1,0,0,61,1,2,0,1,2,42.08,
dimitris7987,3,3,0,1,1.0,3,3,3,0,0.0,1,0.3333,1,1,908,546,38231,430,1,0,0,61,1,2,0,0,2,42.08,
themagus2022,3,3,0,0,1.0,3,3,3,0,0.0,1,0.3333,0,0,242,482,17024,1331,1,1,0,0,0,0,0,0,0,42.08,
anastassios2401,7,6,1,1,0.8571,6,6,6,1,0.1667,1,0.1667,0,0,7547,5666,123293,4891,1,0,0,0,0,0,0,0,0,41.67,
anarchistdonkey,10,9,1,2,0.9,7,9,9,0,0.0,1,0.1111,3,0,5612,2372,160157,4488,0,0,0,0,0,0,0,0,0,41.36,
MariaKagia4603,4,4,0,1,1.0,3,4,4,0,0.0,1,0.25,1,0,120,339,3141,461,1,0,0,0,0,0,0,0,0,41.25,
Torquem21743459,2,2,0,0,1.0,1,2,2,0,0.0,1,0.5,0,3,528,1417,15716,2857,1,0,0,0,0,0,0,0,0,41.25,
InafiZinaf1,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,0,0,557,173,1078,396,1,0,0,61,3,6,0,0,2,40.0,
aekzurich21,2,2,0,0,1.0,0,2,2,0,0.0,1,0.5,2,0,263,846,16614,1026,1,0,0,0,0,0,0,0,0,40.0,
ledentiste2,5,4,1,1,0.8,4,4,4,1,0.25,1,0.25,2,0,2588,3328,37639,2122,1,0,0,0,0,0,0,0,0,39.25,
SagamoreMount,4,4,0,1,1.0,1,4,4,0,0.0,1,0.25,0,3,134,425,4111,597,1,0,0,61,3,7,1,6,3,38.75,
kostasagg1965,3,2,1,1,0.6667,2,2,2,1,0.5,1,0.5,0,0,355,7206,34749,1447,1,0,0,0,0,0,0,0,0,38.33,
MariaKoki3,5,4,1,1,0.8,4,4,3,0,0.0,2,0.5,0,0,1401,753,123802,1201,1,0,0,61,2,4,0,1,2,38.0,
EAdamopoulou,3,1,2,1,0.3333,0,1,1,1,1.0,1,1.0,0,2,8667,1792,75832,5437,0,0,1,0,0,0,0,0,0,36.67,
g_m_theo,3,1,2,1,0.3333,0,1,1,1,1.0,1,1.0,0,1,6346,5665,60021,4095,1,0,0,0,0,0,0,0,0,36.67,
57lista,4,3,1,1,0.75,1,3,3,1,0.3333,1,0.3333,0,0,1649,1545,15807,1692,1,0,0,61,1,2,0,0,2,35.83,
GP_74_,3,2,1,1,0.6667,0,2,2,1,0.5,1,0.5,0,1,1327,1023,18356,1056,1,0,0,0,0,0,0,0,0,35.83,
lafillemalgard1,5,4,1,1,0.8,4,4,4,0,0.0,1,0.25,0,0,3622,3305,73800,5149,0,0,0,0,0,0,0,0,0,35.5,
JSweetGR,6,5,1,2,0.8333,1,5,5,1,0.2,1,0.2,0,2,3253,2123,70935,6219,0,0,1,61,4,8,0,3,2,35.42,
AnAthenianToLDN,11,7,4,4,0.6364,4,7,7,3,0.4286,1,0.1429,1,0,22206,2364,229235,5439,0,0,0,0,0,0,0,0,0,35.13,
AthanasiouCccp,7,5,2,3,0.7143,4,5,5,1,0.2,1,0.2,0,1,6137,5379,145365,4863,1,0,0,0,0,0,0,0,0,35.0,
KosmidisStathis,5,4,1,0,0.8,3,4,4,0,0.0,1,0.25,2,0,9688,5717,81657,4186,1,0,0,61,1,2,0,1,2,34.25,
steiger_st28082,9,6,3,0,0.6667,5,6,5,0,0.0,2,0.3333,0,4,2121,3166,130052,1122,1,0,0,61,3,6,0,3,2,32.92,
jparthen,4,3,1,3,0.75,2,3,3,0,0.0,1,0.3333,0,4,552,475,46522,6046,0,0,0,0,0,0,0,0,0,32.08,
ippotech,4,2,2,1,0.5,1,2,2,1,0.5,1,0.5,0,3,3981,4568,81449,5496,0,0,0,0,0,0,0,0,0,31.25,
Mrpresidentgr,4,3,1,2,0.75,1,3,3,0,0.0,1,0.3333,2,1,3817,2976,54071,6177,1,0,1,0,0,0,0,0,0,30.83,
frel_elias,3,2,1,2,0.6667,2,2,2,0,0.0,1,0.5,4,0,1142,1676,57594,5294,1,0,1,0,0,0,0,0,0,30.83,
Placebo_0,8,5,3,1,0.625,5,5,5,0,0.0,1,0.2,2,0,6475,3501,326861,5162,0,0,0,0,0,0,0,0,0,30.12,
KyrPantelis3,3,2,1,1,0.6667,1,2,2,0,0.0,1,0.5,0,0,394,2408,15084,1376,1,0,0,0,0,0,0,0,0,29.58,
anasiropiastos,5,3,2,1,0.6,1,3,2,0,0.0,2,0.6667,0,0,345,290,7402,304,1,0,0,61,1,2,1,2,2,28.92,
PanosStayis,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,347,347,6833,1058,1,0,0,0,0,0,0,0,0,28.75,
RXRqdEgogik2Z9P,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,3532,1051,22412,2457,1,0,0,0,0,0,0,0,0,28.75,
despica67766915,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,845,1154,17983,2388,1,0,0,0,0,0,0,0,0,28.75,
dkDurcGYTIpZdKl,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,2,3398,2363,96896,3199,1,0,0,0,0,0,0,0,0,28.75,
isidoragiou1,2,1,1,1,0.5,1,1,1,0,0.0,1,1.0,0,0,599,291,15256,3857,0,0,0,0,0,0,0,0,0,28.75,
pnevan11,2,1,1,0,0.5,1,1,1,0,0.0,1,1.0,0,0,619,1459,7987,3627,1,0,0,0,0,0,0,0,0,28.75,
foivos_trikkis_,12,6,6,5,0.5,6,6,6,0,0.0,1,0.1667,4,2,1519,807,38658,2174,1,0,0,0,0,0,0,0,0,26.67,
Abovelaw13,16,7,9,3,0.4375,7,7,7,0,0.0,1,0.1429,27,8,1065,582,10995,1724,1,0,1,0,0,0,0,0,0,25.49,
amantomatimou,8,4,4,3,0.5,4,4,4,0,0.0,1,0.25,0,0,5606,557,82646,5532,0,0,0,0,0,0,0,0,0,25.0,
ArgirNik,3,1,2,2,0.3333,1,1,1,0,0.0,1,1.0,0,0,829,516,156054,5322,1,0,0,0,0,0,0,0,0,22.92,
parodynews,3,1,2,2,0.3333,1,1,1,0,0.0,1,1.0,0,0,3574,4099,180025,5999,0,0,0,0,0,0,0,0,0,22.92,
agnwstos_x_,4,1,3,0,0.25,1,1,1,0,0.0,1,1.0,2,0,4235,1618,45887,4413,1,0,0,0,0,0,0,0,0,20.0,
NodarasSpiros,14,3,11,11,0.2143,1,3,3,1,0.3333,1,0.3333,0,0,8696,2447,191042,4979,1,0,0,61,4,9,1,3,3,17.08,
Greekprn,7,1,6,0,0.1429,1,1,1,0,0.0,1,1.0,6,0,6049,3860,157872,5321,0,0,0,0,0,0,0,0,0,16.25,
DvsDvs60195368,9,0,9,1,0.0,0,0,0,0,0.0,0,0.0,0,0,3465,3428,62433,1193,1,0,1,0,0,0,0,0,0,0.0,
ellada24,6,0,6,0,0.0,0,0,0,0,0.0,0,0.0,0,0,29792,1448,89304,1748,1,0,1,0,0,0,0,0,0,0.0,
Veltsi_Legacy,5,0,5,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1223,574,12772,939,1,0,1,0,0,0,0,0,0,0.0,
John_Fletcher70,4,0,4,3,0.0,0,0,0,0,0.0,0,0.0,0,2,4246,955,118492,4662,0,0,0,0,0,0,0,0,0,0.0,
MoudilosV,4,0,4,2,0.0,0,0,0,0,0.0,0,0.0,4,0,1877,1736,24621,6064,0,0,1,0,0,0,0,0,0,0.0,
olofwti_agapi,4,0,4,0,0.0,0,0,0,0,0.0,0,0.0,4,0,348,134,5573,1237,1,0,0,0,0,0,0,0,0,0.0,
Wwwwww42362442,3,0,3,3,0.0,0,0,0,0,0.0,0,0.0,0,0,1977,3158,28015,3122,1,0,0,0,0,0,0,0,0,0.0,
gospodinmedvedd,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,1,1,340,369,4828,987,1,0,0,0,0,0,0,0,0,0.0,
n_palaiopanou,3,0,3,1,0.0,0,0,0,0,0.0,0,0.0,0,3,,,,,,,,0,0,0,0,0,0,0.0,
trescommeilfaut,3,0,3,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1736,845,11916,3068,0,0,0,0,0,0,0,0,0,0.0,
Apstolos14616,2,0,2,1,0.0,0,0,0,0,0.0,0,0.0,0,0,142,168,2079,80,1,1,1,0,0,0,0,0,0,0.0,
AstyMpekas,2,0,2,2,0.0,0,0,0,0,0.0,0,0.0,0,3,311,153,6981,554,1,0,0,0,0,0,0,0,0,0.0,
